type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
buy,0.01,0.01,XAUUSD,4636.822,4632.9890000000005,4627.426,4646.761,-0.11,0,-3.83,user,2026-01-14 19:01:59.501,2026-01-14 19:05:45.620
buy,0.01,0.01,XAUUSD,4634.244,4632.091,4632.091,,-0.11,0,-2.15,sl,2026-01-14 19:24:42.720,2026-01-14 19:25:41.893
buy,0.01,0.01,XAUUSD,4632.322,4629.396,4629.396,,-0.11,0,-2.92,sl,2026-01-14 19:31:04.386,2026-01-14 19:32:02.058
buy,0.01,0.01,XAUUSD,4632.65,4631.773,4631.773,,-0.11,0,-0.88,sl,2026-01-14 19:40:48.802,2026-01-14 19:50:19.177
buy,0.01,0.02,XAUUSD,4633.659,4635.234,4632.936,4635.862,,0,1.57,user,2026-01-14 19:53:16.039,2026-01-14 19:56:30.069
buy,0.01,0.02,XAUUSD,4633.659,4635.862,4632.936,4635.862,-0.22,0,2.2,tp,2026-01-14 19:53:16.039,2026-01-14 19:59:45.166
buy,0.01,0.01,XAUUSD,4637.82,4635.409,4635.409,,-0.11,0,-2.41,sl,2026-01-14 20:03:23.461,2026-01-14 20:05:32.178
buy,0.01,0.01,XAGUSD,92.002,91.884,91.884,92.419,-1.0,0,-5.9,sl,2026-01-14 20:06:19.635,2026-01-14 20:07:49.441
buy,0.01,0.01,XAGUSD,91.932,91.787,91.787,92.314,-1.0,0,-7.25,sl,2026-01-14 20:10:37.809,2026-01-14 20:11:03.641
buy,0.01,0.01,XAGUSD,91.968,91.844,91.844,92.13,-1.0,0,-6.2,sl,2026-01-14 20:28:27.003,2026-01-14 20:30:01.470
buy,0.02,0.02,XAGUSD,91.403,91.526,91.219,91.746,-2.0,0,12.3,user,2026-01-14 20:33:22.394,2026-01-14 20:33:29.053
sell,0.01,0.02,XAGUSD,91.131,91.097,91.613,90.842,,0,1.7,user,2026-01-14 20:38:14.075,2026-01-14 20:38:25.619
sell,0.01,0.02,XAGUSD,91.131,91.077,91.613,90.842,-2.0,0,2.7,user,2026-01-14 20:38:14.075,2026-01-14 20:39:17.042
