ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1948347801,2026-01-19T02:11:05.421000,2026-01-19T02:11:50.891000,buy,0.03,0.05,XAUUSD,4664.968,4662.513,,,-0.55,0,-7.36,,,user
1948347801,2026-01-19T02:11:05.421000,2026-01-19T02:11:44.359000,buy,0.02,0.05,XAUUSD,4664.968,4662.402,,,,0,-5.14,,,user
1948345657,2026-01-19T02:10:00.926000,2026-01-19T02:11:01.570000,sell,0.02,0.05,XAUUSD,4662.434,4664.13,4664.13,4658.334,-0.55,0,-3.39,,,sl
1948345657,2026-01-19T02:10:00.926000,2026-01-19T02:10:26.081000,sell,0.03,0.05,XAUUSD,4662.434,4663.028,4664.13,4658.334,,0,-1.78,,,user
1948331494,2026-01-19T02:04:17.020000,2026-01-19T02:05:01.611000,buy,0.05,0.05,XAUUSD,4654.916,4655.501,,,-0.55,0,2.93,,,user
1948330984,2026-01-19T02:03:56.564000,2026-01-19T02:04:01.607000,buy,0.05,0.05,XAUUSD,4654.304,4655.022,,,-0.55,0,3.59,,,user
1948329959,2026-01-19T02:03:25.029000,2026-01-19T02:03:48.775000,buy,0.03,0.03,XAUUSD,4655.354,4653.747,4653.747,4659.611,-0.33,0,-4.82,,,sl
1948322629,2026-01-19T02:01:05.438000,2026-01-19T02:02:01.087000,buy,0.01,0.01,XAUUSD,4656.008,4653.942,,,-0.11,0,-2.07,,,user
1948295390,2026-01-19T01:47:22.792000,2026-01-19T01:55:42.641000,buy,0.01,0.03,XAUUSD,4662.446,4661.914,4661.914,4671.024,-0.33,0,-0.54,,,sl
1948295390,2026-01-19T01:47:22.792000,2026-01-19T01:54:37.935000,buy,0.01,0.03,XAUUSD,4662.446,4662.483,4661.914,4671.024,,0,0.03,,,user
1948295390,2026-01-19T01:47:22.792000,2026-01-19T01:50:07.616000,buy,0.01,0.03,XAUUSD,4662.446,4664.229,4661.914,4671.024,,0,1.78,,,user
1948280132,2026-01-19T01:39:35.041000,2026-01-19T01:42:01.497000,buy,0.01,0.03,XAUUSD,4658.03,4657.348,4657.348,4672.817,-0.33,0,-0.68,,,sl
1948280132,2026-01-19T01:39:35.041000,2026-01-19T01:40:17.624000,buy,0.01,0.03,XAUUSD,4658.03,4660.64,4657.348,4672.817,,0,2.61,,,user
1948280132,2026-01-19T01:39:35.041000,2026-01-19T01:39:47.727000,buy,0.01,0.03,XAUUSD,4658.03,4657.076,4657.348,4672.817,,0,-0.95,,,user
1948276610,2026-01-19T01:38:04.177000,2026-01-19T01:39:09.929000,buy,0.01,0.01,XAUUSD,4660.857,4656.591,,,-0.11,0,-4.27,,,user
1948252203,2026-01-19T01:26:02.564000,2026-01-19T01:39:06.441000,buy,0.01,0.01,XAUUSD,4659.248,4656.935,4656.935,4673.472,-0.11,0,-2.31,,,sl
1948149440,2026-01-19T00:40:27.091000,2026-01-19T00:40:43.317000,buy,0.01,0.01,XAUUSD,4677.72,4678.59,4677.373,4689.691,-0.11,0,0.87,,,user
